 28.34  raw febc8200 feb03c00 fe889400 fe6eae00 | n=512 bytes=2048 | min=  -108126 max=    49632 mean= -20517.7 rms=  43840.7 (0.5226% FS) zeros=  0 flat=  1
 28.56  raw 0053de00 0055f400 00500200 00407a00 | n=512 bytes=2048 | min=   -88868 max=    58038 mean=  -8108.3 rms=  35382.2 (0.4218% FS) zeros=  0 flat=  1
 28.89  raw fde80e00 fe016800 fe101800 fe151e00 | n=512 bytes=2048 | min=  -250834 max=   -57820 mean=-157047.0 rms= 164511.1 (1.9611% FS) zeros=  0 flat=  1
 29.11  raw ffd14400 ffc68400 ffcd7a00 ffcf4c00 | n=512 bytes=2048 | min=   -27668 max=    84362 mean=  30049.6 rms=  37823.6 (0.4509% FS) zeros=  0 flat=  1
 29.33  raw 01470600 014bfe00 014a7c00 014b9800 | n=512 bytes=2048 | min=    20086 max=   163176 mean=  82215.4 rms=  86678.7 (1.0333% FS) zeros=  0 flat=  1
 29.65  raw feade200 feb4d600 fea64000 fe9d9400 | n=512 bytes=2048 | min=  -109358 max=    50132 mean= -40780.0 rms=  51925.4 (0.6190% FS) zeros=  0 flat=  1
 29.88  raw fd012800 fcf21800 fceb0800 fcfd8800 | n=512 bytes=2048 | min=  -267052 max=  -118842 mean=-197878.2 rms= 200386.0 (2.3888% FS) zeros=  0 flat=  1
 30.10  raw 032b6000 0347c200 03422a00 03354c00 | n=512 bytes=2048 | min=   118842 max=   251126 mean= 201603.4 rms= 203961.4 (2.4314% FS) zeros=  0 flat=  1
 30.43  raw 011e1800 01223e00 01233800 012e1400 | n=512 bytes=2048 | min=   -50786 max=   105554 mean=  19293.3 rms=  40297.2 (0.4804% FS) zeros=  0 flat=  1
 30.65  raw ffbf2400 ff94a000 ff773000 ff796800 | n=512 bytes=2048 | min=  -104152 max=    75252 mean=   2564.2 rms=  44108.1 (0.5258% FS) zeros=  0 flat=  1
 30.86  raw fd4bd800 fd2c3000 fd085800 fcf79800 | n=512 bytes=2048 | min=  -276878 max=  -123684 mean=-196419.8 rms= 198533.6 (2.3667% FS) zeros=  0 flat=  1
 31.08  raw 02e71800 03053200 03058600 02fea200 | n=512 bytes=2048 | min=   114438 max=   291150 mean= 208828.4 rms= 213079.6 (2.5401% FS) zeros=  0 flat=  1
 31.42  raw 01942600 019ab200 0188fe00 0175f400 | n=512 bytes=2048 | min=   -10378 max=   132180 mean=  59460.1 rms=  69022.7 (0.8228% FS) zeros=  0 flat=  1
 31.63  raw ff473800 ff5b8a00 ff7e5600 ff896c00 | n=512 bytes=2048 | min=   -80196 max=    34052 mean= -20267.7 rms=  34874.1 (0.4157% FS) zeros=  0 flat=  1
 31.85  raw ff04f600 ff095400 ff073a00 ff0c9200 | n=512 bytes=2048 | min=  -133384 max=    64776 mean= -51065.2 rms=  65518.6 (0.7810% FS) zeros=  0 flat=  1
 32.18  raw fbdcc400 fbb7a400 fba1fc00 fb8b0000 | n=512 bytes=2048 | min=  -460948 max=  -265174 mean=-376510.4 rms= 379475.1 (4.5237% FS) zeros=  0 flat=  1
 32.40  raw f5dde400 f5c0f400 f5b9f600 f5b60200 | n=512 bytes=2048 | min=  -679568 max=  -386246 mean=-546989.2 rms= 551035.3 (6.5689% FS) zeros=  0 flat=  1
