  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 32.33  kw 0.003  unk 0.997  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.33  kw 0.004  unk 0.996  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.33  kw 0.003  unk 0.996  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.35  kw 0.010  unk 0.987  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.35  kw 0.030  unk 0.958  sil 0.013  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.35  kw 0.131  unk 0.861  sil 0.008  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 33.35  kw 0.209  unk 0.776  sil 0.015  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.36  kw 0.956  unk 0.037  sil 0.007  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.36  kw 0.629  unk 0.170  sil 0.201  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.36  kw 0.537  unk 0.122  sil 0.341  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.36  kw 0.105  unk 0.771  sil 0.125  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.36  kw 0.033  unk 0.938  sil 0.029  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.36  kw 0.015  unk 0.981  sil 0.003  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.37  kw 0.006  unk 0.994  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.37  kw 0.024  unk 0.976  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.37  kw 0.037  unk 0.947  sil 0.017  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 35.37  kw 0.020  unk 0.966  sil 0.013  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.37  kw 0.037  unk 0.894  sil 0.069  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.37  kw 0.230  unk 0.407  sil 0.363  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.37  kw 0.318  unk 0.562  sil 0.121  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.37  kw 0.215  unk 0.752  sil 0.033  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.37  kw 0.256  unk 0.714  sil 0.029  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.37  kw 0.019  unk 0.830  sil 0.150  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.38  kw 0.007  unk 0.990  sil 0.003  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.38  kw 0.002  unk 0.997  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.38  kw 0.001  unk 0.999  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 37.38  kw 0.001  unk 0.998  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 37.38  kw 0.009  unk 0.991  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
